Datasett hentet fra;https://hnygard.github.io/norsk-lovtidend/;@hallny / Norske-postlister.no;Kilde;https://lovdata.no/register/lovtidend;Data hentet;11.02.2020 20:54:07

kunngjort;dato;korttittel;url;title;departement;ikrafttredelse;endrer;journalnr;gjelder for;hjemmel;rettet;
10.02.2020   kl. 14.30;FOR-2019-12-12-2229;Endr. i forskrift om opptak mv. ved Høgskolen i Molde;https://lovdata.no/dokument/LTI/forskrift/2019-12-12-2229;Forskrift om endring i forskrift om opptak, studier og eksamen ved Høgskolen i Molde – Vitenskapelig høgskole i logistikk;Kunnskapsdepartementet;10.02.2020;FOR-2015-05-07-540;2020-0121;Norge;LOV-2005-04-01-15-§3-3, LOV-2005-04-01-15-§3-5, LOV-2005-04-01-15-§3-6, LOV-2005-04-01-15-§3-7, LOV-2005-04-01-15-§3-8, LOV-2005-04-01-15-§3-9, LOV-2005-04-01-15-§3-10, LOV-2005-04-01-15-§3-11, LOV-2005-04-01-15-§4-2, LOV-2005-04-01-15-§4-5, LOV-2005-04-01-15-§4-7, LOV-2005-04-01-15-§4-8, LOV-2005-04-01-15-§4-10, LOV-2005-04-01-15-§5-2, LOV-2005-04-01-15-§5-3, FOR-2017-01-06-13, FOR-2005-12-01-1392;;
07.02.2020   kl. 14.40;FOR-2020-02-07-113;Endr. i Økonomireglement for Det Kongelige Hoff;https://lovdata.no/dokument/LTI/forskrift/2020-02-07-113;Endringer i Økonomireglement for Det Kongelige Hoff;Kommunal- og moderniseringsdepartementet;07.02.2020;FOR-2002-07-05-717;2020-0128;Norge;;;
07.02.2020   kl. 14.40;FOR-2020-02-07-112;Delt ikrafts. av lov 2019:98, endr. i merverdiavgiftsloven;https://lovdata.no/dokument/LTI/forskrift/2020-02-07-112;Delt ikraftsetting av lov 20. desember 2019 nr. 98 om endringer i merverdiavgiftsloven;Finansdepartementet;01.04.2020;LOV-2009-06-19-58;2020-0126;Norge;LOV-2019-12-20-98;;
07.02.2020   kl. 14.40;FOR-2020-02-03-111;Forskrift om opptak, studier og eksamen ved Art Complexion Makeup skole AS;https://lovdata.no/dokument/LTI/forskrift/2020-02-03-111;Forskrift om opptak, disiplinære sanksjoner, klagebestemmelser og eksamen ved fagskolen Art Complexion Makeup skole AS;Kunnskapsdepartementet;03.02.2020;FOR-2017-09-14-1443;2020-0125;Norge;LOV-2018-06-08-28-§9, LOV-2018-06-08-28-§15, LOV-2018-06-08-28-§16, LOV-2018-06-08-28-§17, LOV-2018-06-08-28-§20, LOV-2018-06-08-28-§21, LOV-2018-06-08-28-§23, LOV-2018-06-08-28-§24, LOV-2018-06-08-28-§25, LOV-2018-06-08-28-§39, FOR-2019-07-11-1005-§1, FOR-2019-07-11-1005-§7, FOR-2019-07-11-1005-§9, FOR-2019-07-11-1005-§10, FOR-2019-07-11-1005-§37, FOR-2019-07-11-1005-§38, FOR-2019-07-11-1005-§39, FOR-2019-07-11-1005-§40, FOR-2019-07-11-1005-§43, FOR-2019-07-11-1005-§44, FOR-2019-07-11-1005-§45;;
05.02.2020   kl. 14.10;FOR-2020-02-04-107;Forskrift om forbud mot markedsføring, distribusjon og salg av binære opsjoner til ikke-profesjonelle mv.;https://lovdata.no/dokument/LTI/forskrift/2020-02-04-107;Forskrift om forbud mot markedsføring, distribusjon og salg av binære opsjoner til ikke-profesjonelle og begrensninger i markedsføring, distribusjon og salg av finansielle differansekontrakter (CFD) til ikke-profesjonelle;Finansdepartementet;05.02.2020;FOR-2018-06-04-814;2020-0124;Norge;LOV-2007-06-29-75-§8-1, FOR-2007-06-29-876-§8-2;;
05.02.2020   kl. 14.10;FOR-2020-02-04-106;Endr. i produksjonsområdeforskriften;https://lovdata.no/dokument/LTI/forskrift/2020-02-04-106;Forskrift om endring i produksjonsområdeforskriften;Nærings- og fiskeridepartementet;04.02.2020;FOR-2017-01-16-61;2020-0123;Norge;LOV-2005-06-17-79-§5, LOV-2005-06-17-79-§6, LOV-2005-06-17-79-§7, LOV-2005-06-17-79-§9, LOV-2005-06-17-79-§10, LOV-2005-06-17-79-§26, LOV-2003-12-19-124-§7, LOV-2003-12-19-124-§19, FOR-2003-12-19-1790;;
05.02.2020   kl. 14.10;FOR-2020-02-04-105;Forskrift om kapasitetsjusteringer for tillatelser til akvakultur med matfisk i sjø i 2020;https://lovdata.no/dokument/LTI/forskrift/2020-02-04-105;Forskrift om kapasitetsjusteringer for tillatelser til akvakultur med matfisk i sjø av laks, ørret og regnbueørret i 2020;Nærings- og fiskeridepartementet;04.02.2020;;2020-0122;Norge;LOV-2005-06-17-79-§5, LOV-2005-06-17-79-§6, LOV-2005-06-17-79-§7, LOV-2005-06-17-79-§9, LOV-2005-06-17-79-§10, LOV-2005-06-17-79-§18, LOV-2005-06-17-79-§26, LOV-2005-06-17-79-§33a, FOR-2017-01-16-61-§11, FOR-2017-01-16-61-§12;;
04.02.2020   kl. 14.55;FOR-2020-02-04-103;Endr. i målvedtaksforskrifta;https://lovdata.no/dokument/LTI/forskrift/2020-02-04-103;Forskrift om endring i forskrift om målvedtak i kommunar og fylkeskommunar;Kulturdepartementet;04.02.2020;FOR-2019-12-20-2114;2020-0119;Norge;LOV-1980-04-11-5-§5, FOR-1980-12-05-4938-§8, FOR-2016-06-03-1951;;
04.02.2020   kl. 14.55;FOR-2020-02-03-102;Endr. i forskrift om helseundersøkelse på skip;https://lovdata.no/dokument/LTI/forskrift/2020-02-03-102;Forskrift om endring i forskrift om helseundersøkelse av arbeidstakere på norske skip og flyttbare innretninger;Nærings- og fiskeridepartementet;03.02.2020;FOR-2014-06-05-805;2020-0118;Norge;LOV-2007-02-16-9-§2, LOV-2007-02-16-9-§6, LOV-2007-02-16-9-§17, FOR-2007-02-16-171, FOR-2007-05-31-590;;
04.02.2020   kl. 14.55;FOR-2020-01-31-101;Instruks for Direktoratet for utviklingssamarbeid (Norad);https://lovdata.no/dokument/LTI/forskrift/2020-01-31-101;Instruks for Direktoratet for utviklingssamarbeid (Norad);Utenriksdepartementet;01.02.2020;FOR-2013-12-13-1498;2020-0120;Norge;;;
04.02.2020   kl. 14.55;FOR-2020-01-31-100;Forskrift om jakt på reinsdyr som eies;https://lovdata.no/dokument/LTI/forskrift/2020-01-31-100;Forskrift om jakt på reinsdyr som eies;Landbruks- og matdepartementet;31.01.2020;;2020-0117;Norge;LOV-2009-06-19-97-§20, LOV-2009-06-19-97-§30;;
04.02.2020   kl. 14.55;FOR-2020-01-31-99;Forskrift om nasjonal retningslinje for paramedisinutdanning;https://lovdata.no/dokument/LTI/forskrift/2020-01-31-99;Forskrift om nasjonal retningslinje for paramedisinutdanning;Kunnskapsdepartementet;01.07.2020;;2020-0116;Norge;LOV-2005-04-01-15-§3-2;;
04.02.2020   kl. 14.55;FOR-2020-01-21-98;Endr. i forskrift om narkotikaprekursorer;https://lovdata.no/dokument/LTI/forskrift/2020-01-21-98;Forskrift om endring i forskrift om handel mellom Norge og land i EØS-området med stoffer som kan brukes ved ulovlig fremstilling av narkotika (narkotikaprekursorer);Helse- og omsorgsdepartementet;21.01.2020;FOR-2010-02-12-156;2020-0105;Norge;LOV-1992-12-04-132-§25a, FOR-1995-06-08-521, FOR-2000-12-21-1362;;
03.02.2020   kl. 14.30;FOR-2020-01-30-97;Endr. i våpeninstruks for politiet;https://lovdata.no/dokument/LTI/forskrift/2020-01-30-97;Vedtak om endring i våpeninstruks for politiet;Justis- og beredskapsdepartementet;01.02.2020;FOR-2015-07-02-1088;2020-0115;Norge;LOV-1995-08-04-53-§29;;
03.02.2020   kl. 14.30;FOR-2020-01-30-96;Endr. i RÅK-tilskuddsforskriften;https://lovdata.no/dokument/LTI/forskrift/2020-01-30-96;Forskrift om endring i forskrift om råvareprisutjevning for bearbeidede jordbruksvarer;Landbruks- og matdepartementet;01.01.2020;FOR-2009-06-10-636;2020-0114;Norge;LOV-1995-05-12-23-§18;;
31.01.2020   kl. 14.00;FOR-2020-01-31-93;Kunngjøring av Stortingets vedtak 7. januar 2020 om endringer i Grunnloven;https://lovdata.no/dokument/LTI/forskrift/2020-01-31-93;Kunngjøring av Stortingets vedtak 7. januar 2020 om endringer i Grunnloven;Justis- og beredskapsdepartementet;07.01.2020;LOV-1814-05-17;2020-0113;Norge;;;
31.01.2020   kl. 14.00;FOR-2020-01-31-92;Endr. i forskrift om allmennfarlige smittsomme sykdommer og MSIS-forskriften;https://lovdata.no/dokument/LTI/forskrift/2020-01-31-92;Forskrift om endring i forskrift om allmennfarlige smittsomme sykdommer og forskrift om Meldingssystem for smittsomme sykdommer;Helse- og omsorgsdepartementet;31.01.2020;FOR-1995-01-01-100, FOR-2003-06-20-740;2020-0111;Norge;LOV-1994-08-05-55-§1-4, FOR-2003-06-20-740-§1-2;;
31.01.2020   kl. 14.00;FOR-2020-01-30-91;Endr. i skiltforskriften;https://lovdata.no/dokument/LTI/forskrift/2020-01-30-91;Forskrift om endring i forskrift om offentlige trafikkskilt, vegoppmerking, trafikklyssignaler og anvisninger (skiltforskriften);Samferdselsdepartementet;30.01.2020;FOR-2005-10-07-1219;2020-0110;Norge;LOV-1965-06-18-4-§5, LOV-1965-06-18-4-§43, FOR-1967-03-17-3462;;
31.01.2020   kl. 14.00;FOR-2020-01-29-90;Ikrafttr. av organisasjonsplan for redningstjenesten;https://lovdata.no/dokument/LTI/forskrift/2020-01-29-90;Ikrafttredelse av organisasjonsplan for redningstjenesten;Justis- og beredskapsdepartementet;01.02.2020;FOR-2019-12-06-1740;2020-0112;Norge;FOR-2019-12-06-1740, LOV-1995-08-04-53-§27;;
31.01.2020   kl. 14.00;FOR-2020-01-28-89;Deleg. av myndighet etter barnebortføringsloven § 5 til Bufdir;https://lovdata.no/dokument/LTI/forskrift/2020-01-28-89;Delegering av Justis- og beredskapsdepartementets myndighet etter barnebortføringsloven § 5 til Barne-, ungdoms- og familiedirektoratet;Justis- og beredskapsdepartementet;01.03.2020;;2020-0109;Norge;LOV-1988-07-08-72-§21;;
31.01.2020   kl. 14.00;FOR-2019-12-06-2222;Forskrift om fagskoleutdanning ved Norges grønne fagskole – Vea;https://lovdata.no/dokument/LTI/forskrift/2019-12-06-2222;Forskrift om fagskoleutdanning ved Norges grønne fagskole – Vea;Kunnskapsdepartementet;01.01.2020;;2020-0086;Norge;LOV-2018-06-08-28-§14, LOV-2018-06-08-28-§15, LOV-2018-06-08-28-§16, LOV-2018-06-08-28-§19, LOV-2018-06-08-28-§20, LOV-2018-06-08-28-§21, LOV-2018-06-08-28-§22, LOV-2018-06-08-28-§23, LOV-2018-06-08-28-§24, LOV-2018-06-08-28-§25, LOV-2018-06-08-28-§26, LOV-2018-06-08-28-§27, FOR-2019-07-11-1005-§37, FOR-2019-07-11-1005-§38, FOR-2019-07-11-1005-§39;;
30.01.2020   kl. 14.30;FOR-2020-01-29-88;Endr. i forskrift om regulering av torskefisket m.m. nord for 62° N i 2020;https://lovdata.no/dokument/LTI/forskrift/2020-01-29-88;Forskrift om endring i forskrift om regulering av fisket etter torsk, hyse og sei nord for 62° N i 2020;Nærings- og fiskeridepartementet;29.01.2020;FOR-2019-12-18-1992;2020-0108;Norge;FOR-2019-12-18-1992-§34, LOV-2008-06-06-37-§11, LOV-2008-06-06-37-§12, LOV-2008-06-06-37-§14, LOV-2008-06-06-37-§16, LOV-2008-06-06-37-§27, LOV-2008-06-06-37-§36, LOV-2008-06-06-37-§37, LOV-2008-06-06-37-§39, LOV-2008-06-06-37-§59, LOV-1999-03-26-15-§12, LOV-1999-03-26-15-§20, LOV-1999-03-26-15-§21, FOR-2000-02-11-99;;
30.01.2020   kl. 14.30;FOR-2020-01-29-87;Endr. i målvedtaksforskrifta;https://lovdata.no/dokument/LTI/forskrift/2020-01-29-87;Forskrift om endring i forskrift om målvedtak i kommunar og fylkeskommunar;Kulturdepartementet;29.01.2020;FOR-2019-12-20-2114;2020-0107;Norge;LOV-1980-04-11-5-§5, FOR-1980-12-05-4938-§8, FOR-2016-06-03-1951;;
29.01.2020   kl. 14.40;FOR-2020-01-29-84;Endr. i forskrift om grader og beskyttede titler;https://lovdata.no/dokument/LTI/forskrift/2020-01-29-84;Forskrift om endring i forskrift om grader og yrkesutdanninger, beskyttet tittel og normert studietid ved universiteter og høyskoler;Kunnskapsdepartementet;01.02.2020;FOR-2005-12-16-1574;2020-0106;Norge;LOV-2005-04-01-15-§3-2;;
29.01.2020   kl. 14.40;FOR-2020-01-27-83;Endr. i yrkestransportforskriften;https://lovdata.no/dokument/LTI/forskrift/2020-01-27-83;Forskrift om endring i forskrift om yrkestransport med motorvogn og fartøy (yrkestransportforskriften);Samferdselsdepartementet;01.07.2020;FOR-2003-03-26-401;2020-0098;Norge;LOV-2002-06-21-45-§9, LOV-2002-06-21-45-§9a, LOV-2002-06-21-45-§35;;
29.01.2020   kl. 14.40;FOR-2020-01-27-82;Endr. i forskrift om læreplan for voksne innvandrere;https://lovdata.no/dokument/LTI/forskrift/2020-01-27-82;Forskrift om endring i forskrift om læreplan i norsk og samfunnskunnskap for voksne innvandrere;Kunnskapsdepartementet;27.01.2020;FOR-2012-04-19-358;2020-0097;Norge;LOV-2003-07-04-80-§20;;
29.01.2020   kl. 14.40;FOR-2020-01-22-81;Endr. i forskrift om kolmulefisket i 2020;https://lovdata.no/dokument/LTI/forskrift/2020-01-22-81;Forskrift om endring i forskrift om reguleringen av fisket etter kolmule i 2020;Nærings- og fiskeridepartementet;22.01.2020;FOR-2019-12-18-1994;2020-0099;Norge;LOV-2008-06-06-37-§12, FOR-2019-12-18-1994-§16;;
29.01.2020   kl. 14.40;FOR-2019-10-26-2221;Endr. i forskrift om transitt av fisk fra EU-fartøy;https://lovdata.no/dokument/LTI/forskrift/2019-10-26-2221;Forskrift om endring i forskrift om transitt av fisk fanget av og brakt i land fra EU-fartøy;Nærings- og fiskeridepartementet;01.02.2020;FOR-2006-04-21-433;2020-0104;Norge;LOV-2013-06-21-75-§8, LOV-2013-06-21-75-§17, LOV-2013-06-21-75-§18, LOV-2008-06-06-37-§36, LOV-2008-06-06-37-§40;;
28.01.2020   kl. 15.15;FOR-2020-01-24-78;Endr. i forskrift om helsekrav til bilførere mv.;https://lovdata.no/dokument/LTI/forskrift/2020-01-24-78;Forskrift om endring i forskrift om leges melding om at innehaveren av flysertifikat eller førerkort ikke fyller helsemessige krav;Helse- og omsorgsdepartementet;24.01.2020;FOR-1984-07-13-1467;2020-0103;Norge;LOV-1999-07-02-64-§34;;
28.01.2020   kl. 15.15;FOR-2019-11-28-2219;Endr. i forskrift om opptak mv. ved UiB;https://lovdata.no/dokument/LTI/forskrift/2019-11-28-2219;Forskrift om endring i forskrift om opptak, studier, vurdering og grader ved Universitetet i Bergen;Kunnskapsdepartementet;01.01.2020;FOR-2012-02-16-872;2020-0102;Norge;LOV-2005-04-01-15-§3-9;;
28.01.2020   kl. 15.15;FOR-2019-10-31-2218;Endr. i forskrift om opptak mv. ved UiB;https://lovdata.no/dokument/LTI/forskrift/2019-10-31-2218;Forskrift om endring i forskrift om opptak, studier, vurdering og grader ved Universitetet i Bergen;Kunnskapsdepartementet;01.01.2020;FOR-2012-02-16-872;2020-0101;Norge;LOV-2005-04-01-15-§3-3, LOV-2005-04-01-15-§3-9;;
28.01.2020   kl. 15.15;FOR-2019-05-29-2217;Endr. i forskrift om opptak mv. ved UiB;https://lovdata.no/dokument/LTI/forskrift/2019-05-29-2217;Forskrift om endring i forskrift om opptak, studier, vurdering og grader ved Universitetet i Bergen;Kunnskapsdepartementet;01.08.2019;FOR-2012-02-16-872;2020-0100;Norge;LOV-2005-04-01-15-§3-3, LOV-2005-04-01-15-§3-9;;
27.01.2020   kl. 14.45;FOR-2020-01-24-76;Endr. i SI-forskriften;https://lovdata.no/dokument/LTI/forskrift/2020-01-24-76;Forskrift om endring i SI-forskriften;Finansdepartementet;24.01.2020;FOR-2013-06-01-565;2020-0094;Norge;LOV-2013-01-11-3-§1, FOR-2015-09-11-1045;28.01.2020 (tittel).;
27.01.2020   kl. 14.45;FOR-2020-01-23-75;Endr. i skattebeatlingsforskriften;https://lovdata.no/dokument/LTI/forskrift/2020-01-23-75;Forskrift om endring i forskrift til utfylling og gjennomføring mv. av skattebetalingsloven (skattebetalingsforskriften);Finansdepartementet;23.01.2020;FOR-2007-12-21-1766;2020-0095;Norge;LOV-2005-06-17-67-§5-5, FOR-2007-12-21-1766-§5;;
27.01.2020   kl. 14.45;FOR-2019-12-19-2214;Endr. i forskrift om bygging av skip mfl.;https://lovdata.no/dokument/LTI/forskrift/2019-12-19-2214;Forskrift om endring i forskrift om bygging av skip og forskrift om sikkerhetstiltak m.m. på passasjer-, lasteskip og lektere som følge av endringer i SOLAS og IS-koden;Nærings- og fiskeridepartementet;01.01.2020;FOR-2014-07-01-1072, FOR-1987-06-15-507;2019-1398;Norge;LOV-2007-02-16-9-§2, LOV-2007-02-16-9-§6, LOV-2007-02-16-9-§9, LOV-2007-02-16-9-§11, LOV-2007-02-16-9-§21, LOV-2007-02-16-9-§28a, LOV-2007-02-16-9-§29, LOV-2007-02-16-9-§30, LOV-2007-02-16-9-§45, FOR-2007-02-16-171, FOR-2007-05-31-590;;
27.01.2020   kl. 14.45;FOR-2019-11-20-2213;Forskrift om opptak, studier og eksamen ved Fashion Mode AS;https://lovdata.no/dokument/LTI/forskrift/2019-11-20-2213;Forskrift om opptak, disiplinære sanksjoner, klagebestemmelser og eksamen ved fagskolen Fashion Mode AS;Kunnskapsdepartementet;20.11.2019;FOR-2017-09-18-1485;2020-0096;Norge;LOV-2018-06-08-28-§9, LOV-2018-06-08-28-§15, LOV-2018-06-08-28-§16, LOV-2018-06-08-28-§17, LOV-2018-06-08-28-§20, LOV-2018-06-08-28-§21, LOV-2018-06-08-28-§23, LOV-2018-06-08-28-§24, LOV-2018-06-08-28-§25, LOV-2018-06-08-28-§39, FOR-2019-07-11-1005-§1, FOR-2019-07-11-1005-§7, FOR-2019-07-11-1005-§9, FOR-2019-07-11-1005-§10, FOR-2019-07-11-1005-§37, FOR-2019-07-11-1005-§38, FOR-2019-07-11-1005-§39, FOR-2019-07-11-1005-§40, FOR-2019-07-11-1005-§43, FOR-2019-07-11-1005-§44, FOR-2019-07-11-1005-§45;;
24.01.2020   kl. 13.30;FOR-2020-01-24-74;Forskrift om midlertidig unntak fra påbud om sorteringsrist i fisket etter reker;https://lovdata.no/dokument/LTI/forskrift/2020-01-24-74;Forskrift om midlertidig unntak fra påbud om sorteringsrist i fisket etter reker;Nærings- og fiskeridepartementet;24.01.2020 – 07.02.2020;;2020-0093;Norge;FOR-2012-11-26-1104-§2, LOV-2008-06-06-37-§16;;
24.01.2020   kl. 13.30;FOR-2020-01-24-73;Forskrift om dispensasjon fra krav om å melde tap av kjennemerke til politiet;https://lovdata.no/dokument/LTI/forskrift/2020-01-24-73;Forskrift om dispensasjon fra krav om å melde tap av kjennemerke til politiet i forskrift 25. januar 1990 nr. 92 om bruk av kjøretøy § 2-25 (1) for kjøretøy omfattet av brann i garasjeanlegg ved Stavanger lufthavn;Samferdselsdepartementet;24.01.2020 – 01.01.2021;;2020-0092;Norge;LOV-1965-06-18-4-§15, LOV-1965-06-18-4-§43, FOR-1990-01-25-92-§6-2, FOR-1980-11-24-1;;
24.01.2020   kl. 13.30;FOR-2020-01-23-72;Fastsettelse av renter for beskatning av kraftforetak for inntektsåret 2019;https://lovdata.no/dokument/LTI/forskrift/2020-01-23-72;Vedtak om fastsettelse av renter for beskatning av kraftforetak for inntektsåret 2019;Finansdepartementet;Inntektsåret 2019;;2020-0091;Norge;FOR-1999-11-19-1158-§18-8, LOV-1999-03-26-14-§18-2, LOV-1999-03-26-14-§18-3;;
24.01.2020   kl. 13.30;FOR-2020-01-23-71;Endr. i forskrift om innredning, rekreasjonstilbud, kost og forpleining på skip;https://lovdata.no/dokument/LTI/forskrift/2020-01-23-71;Forskrift om endring i forskrift om innredning, rekreasjonstilbud, kost og forpleining på skip;Nærings- og fiskeridepartementet;01.02.2020;FOR-2017-04-21-515;2020-0090;Norge;LOV-2007-02-16-9-§2, LOV-2007-02-16-9-§6, LOV-2007-02-16-9-§9, LOV-2007-02-16-9-§21, LOV-2007-02-16-9-§22, LOV-2007-02-16-9-§25, LOV-2007-02-16-9-§26, LOV-2007-02-16-9-§28a, LOV-2007-02-16-9-§29, LOV-2007-02-16-9-§30, LOV-2007-02-16-9-§43, LOV-2007-02-16-9-§47, FOR-2007-02-16-171, FOR-2007-05-31-590, FOR-2013-08-19-1002;;
24.01.2020   kl. 13.30;FOR-2020-01-23-70;Endr. i forskrift om sertifikat m.m. for norske skip og flyttbare innretninger;https://lovdata.no/dokument/LTI/forskrift/2020-01-23-70;Forskrift om endring i forskrift om tilsyn og sertifikat for norske skip og flyttbare innretninger;Nærings- og fiskeridepartementet;01.02.2020;FOR-2014-12-22-1893;2020-0089;Norge;LOV-2007-02-16-9-§13, FOR-2007-02-16-171, FOR-2007-05-31-590, FOR-2013-08-19-1002;;
24.01.2020   kl. 13.30;FOR-2020-01-23-69;Forskrift om åpne treskip som fører flere enn 12 passasjerer;https://lovdata.no/dokument/LTI/forskrift/2020-01-23-69;Forskrift om åpne treskip som fører flere enn 12 passasjerer;Nærings- og fiskeridepartementet;01.02.2020;;2020-0088;Norge;LOV-2007-02-16-9-§2, LOV-2007-02-16-9-§6, LOV-2007-02-16-9-§7, LOV-2007-02-16-9-§9, LOV-2007-02-16-9-§11, LOV-2007-02-16-9-§12, LOV-2007-02-16-9-§14, LOV-2007-02-16-9-§16, LOV-2007-02-16-9-§17, LOV-2007-02-16-9-§43, FOR-2007-02-16-171, FOR-2007-05-31-590, FOR-2013-08-19-1002;;
24.01.2020   kl. 13.30;FOR-2020-01-23-68;Endr. i utlendingsforskriften (vedlegg 15);https://lovdata.no/dokument/LTI/forskrift/2020-01-23-68;Forskrift om endring i utlendingsforskriften (vedlegg 15);Justis- og beredskapsdepartementet;23.01.2020;FOR-2009-10-15-1286;2020-0087;Norge;LOV-2008-05-15-35-§65, FOR-2009-10-09-1260, FOR-2009-12-16-1586;;
24.01.2020   kl. 13.30;FOR-2020-01-14-67;Endr. i forskrift om bygging mv. av mindre lasteskip;https://lovdata.no/dokument/LTI/forskrift/2020-01-14-67;Forskrift om endring i forskrift om bygging og tilsyn av mindre lasteskip;Nærings- og fiskeridepartementet;01.02.2020;FOR-2014-12-19-1853;2020-0060;Norge;LOV-2007-02-16-9-§13, FOR-2007-02-16-171, FOR-2007-05-31-590;;
24.01.2020   kl. 13.30;FOR-2020-01-14-66;Endr. i forskrift om måling av skip mv.;https://lovdata.no/dokument/LTI/forskrift/2020-01-14-66;Forskrift om endring i forskrift om måling av skip og flyttbare innretninger;Nærings- og fiskeridepartementet;01.02.2020;FOR-2015-06-30-823;2020-0059;Norge;LOV-2007-02-16-9-§10, FOR-2007-02-16-171, FOR-2007-05-31-590;;
24.01.2020   kl. 13.30;FOR-2020-01-14-65;Endr. i forskrift om sertifikat m.m. for norske skip og flyttbare innretninger;https://lovdata.no/dokument/LTI/forskrift/2020-01-14-65;Forskrift om endring i forskrift om tilsyn og sertifikat for norske skip og flyttbare innretninger;Nærings- og fiskeridepartementet;01.02.2020;FOR-2014-12-22-1893;2020-0058;Norge;LOV-2007-02-16-9-§13, FOR-2007-02-16-171, FOR-2007-05-31-590;;
24.01.2020   kl. 13.30;FOR-2020-01-14-64;Endr. i forskrift om kvalifikasjoner og sertifikater for sjøfolk;https://lovdata.no/dokument/LTI/forskrift/2020-01-14-64;Forskrift om endring i forskrift om kvalifikasjoner og sertifikater for sjøfolk;Nærings- og fiskeridepartementet;01.02.2020;FOR-2011-12-22-1523;2020-0057;Norge;LOV-2007-02-16-9-§16, FOR-2007-02-16-171, FOR-2007-05-31-590;;
24.01.2020   kl. 13.30;FOR-2020-01-14-63;Forskrift om fartøy under 24 m som fører 12 eller færre passasjerer;https://lovdata.no/dokument/LTI/forskrift/2020-01-14-63;Forskrift om fartøy under 24 m som fører 12 eller færre passasjerer;Nærings- og fiskeridepartementet;01.02.2020;FOR-2009-11-24-1400;2020-0056;Norge;LOV-2007-02-16-9-§2, LOV-2007-02-16-9-§5, LOV-2007-02-16-9-§7, LOV-2007-02-16-9-§8, LOV-2007-02-16-9-§9, LOV-2007-02-16-9-§11, LOV-2007-02-16-9-§13, LOV-2007-02-16-9-§15, LOV-2007-02-16-9-§27, LOV-2007-02-16-9-§42, FOR-2007-02-16-171, FOR-2007-05-31-590;;
23.01.2020   kl. 15.30;FOR-2020-01-20-62;Endr. i tollforskriften;https://lovdata.no/dokument/LTI/forskrift/2020-01-20-62;Forskrift om endring i forskrift til lov om toll og vareførsel (tollforskriften);Finansdepartementet;20.01.2020;FOR-2008-12-17-1502;2020-0080;Norge;LOV-2007-12-21-119-§8-4, FOR-2016-12-02-1426, FOR-2008-11-25-1256;;
23.01.2020   kl. 15.30;FOR-2020-01-17-61;Endr. i finansforetaksforskriften og forskrift om utfyllende regler til finansforetaksforskriften kapittel 20;https://lovdata.no/dokument/LTI/forskrift/2020-01-17-61;Forskrift om endring i forskrift om finansforetak og finanskonsern og forskrift om utfyllende regler til finansforetaksforskriften kapittel 20;Finansdepartementet;23.01.2020;FOR-2016-12-09-1502, FOR-2018-12-20-2256;2020-0081;Norge;LOV-2015-04-10-17-§20-4, FOR-2019-10-31-1447;;
23.01.2020   kl. 15.30;FOR-2017-11-30-2535;Endr. i forskrift om opptak mv. ved UiB;https://lovdata.no/dokument/LTI/forskrift/2017-11-30-2535;Forskrift om endring i forskrift om opptak, studier, vurdering og grader ved Universitetet i Bergen;Kunnskapsdepartementet;01.12.2017;FOR-2012-02-16-872;2020-0085;Norge;LOV-2005-04-01-15-§3-3, LOV-2005-04-01-15-§3-9;;
22.01.2020   kl. 14.35;FOR-2020-01-22-60;Endr. i forskrift til friskolelova;https://lovdata.no/dokument/LTI/forskrift/2020-01-22-60;Forskrift om endring i forskrift til friskolelova;Kunnskapsdepartementet;22.01.2020;FOR-2006-07-14-932;2020-0084;Norge;LOV-2003-07-04-84-§3-1;;
22.01.2020   kl. 14.35;FOR-2020-01-22-59;Normrentesats for inntektsåret 2019;https://lovdata.no/dokument/LTI/forskrift/2020-01-22-59;Kunngjøring av normrentesats for inntektsåret 2019 etter forskrift 18. august 1998 nr. 819 om skattemessig behandling av leie av flyttbar produksjonsinnretning på kontinentalsokkelen;Finansdepartementet;Inntektsåret 2019;;2020-0083;Norge;FOR-1998-08-18-819-§5, LOV-1975-06-13-35-§3;;
22.01.2020   kl. 14.35;FOR-2020-01-22-58;Rentesats for inntektsåret 2019 for petroleum;https://lovdata.no/dokument/LTI/forskrift/2020-01-22-58;Kunngjøring av rentesats for inntektsåret 2019 til bruk ved fremføring av underskudd og friinntekt etter forskrift 30. april 1993 nr. 316 om skattlegging av inntekt vunnet ved utvinning og rørledningstransport av petroleum;Finansdepartementet;Inntektsåret 2019;;2020-0082;Norge;FOR-1993-04-30-316-§16, LOV-1975-06-13-35-§3, LOV-1975-06-13-35-§5, LOV-1975-06-13-35-§5a, LOV-1975-06-13-35-§8;;
22.01.2020   kl. 14.35;FOR-2019-12-12-2207;Mellombels forskrift om sensurfristar ved Norges Handelshøyskole;https://lovdata.no/dokument/LTI/forskrift/2019-12-12-2207;Mellombels forskrift om sensurfristar ved Norges Handelshøyskole (NHH);Kunnskapsdepartementet;Eksamenar avlagt vår- og haustsemesteret, 2020;;2020-0008;Norge;LOV-2005-04-01-15-§3-9, LOV-2005-04-01-15-§8-2;;
